Количество собственников,Санузел,Класс энергоэффективности,Газ,Тип перекрытий,Ремонт,Цена,Перепланировка,Мусоропровод,Количество балконов,Площадь,Количество лифтов,Вид из окон,Этаж,Высота потолков,Год постройки,Балкон,Несовершеннолетние собственники,Количество подъездов,Детская площадка,Цена за квадрат,Количество этажей,Жилая,Лифт,Тип фундамента,Кухня,Ссылка,Комнат,Лет в собственности,Тип сделки,Прописано,Материал стен,Грузовой лифт,Количество квартир,Горячее водоснабжение,Серия дома,Прописанные несовершеннолетние
,,,есть,Железобетонный,евроремонт,4190000₽,,,1,"52,4 м2",1,во двор,7,,1979,,,,,79961₽/м²,9,,есть,,9 м2,https://domclick.ru/card/sale__flat__2058969964,2,,Свободная продажа,,Панельный,,,,121,
,,,,Железобетонный,Евро,3780000₽,,,1,38 м2,,,10,,2021,,,,,99473₽/м²,17,,есть,,8 м2,https://domclick.ru/card/sale__flat__2059104132,1,,,,Панельный,,,Центральное,,
1,Раздельный,,есть,Железобетонный,Евро,5300000₽,нет,,2,63 м2,1,,3,,1996,,нет,,,84126₽/м²,10,48 м2,есть,,12 м2,https://domclick.ru/card/sale__flat__2055830672,3,Больше пяти,Свободная продажа,,Панельный,нет,,,1-панельный,нет
,,,,,,5950000₽,,,1,"57,8 м2",1,,9,,2014,,,,,102941₽/м²,17,25 м2,,,"20,3 м2",https://domclick.ru/card/sale__flat__2058864734,2,,Свободная продажа,,Панельный,,,,,
,Раздельный,,есть,Железобетонный,Евро,4120000₽,,,,"61,4 м2",,во двор,1,,1974,нет,,,,67100₽/м²,5,48 м2,,Ленточный,5 м2,https://domclick.ru/card/sale__flat__2059434600,3,,Свободная продажа,,Панельный,нет,,,1-464,
,,,,,Косметический,689000₽,,,1,"13,3 м2",1,,8,,1985,,,,,51804₽/м²,9,"13,3 м2",есть,,,https://domclick.ru/card/sale__flat__1721123810,1,,,,Кирпичный,,264,,1-447,
,,,,,Косметический,5100000₽,,,1,"60,2 м2",,,3,,2015,,,,,84717₽/м²,19,,есть,,14 м2,https://domclick.ru/card/sale__flat__1710406308,2,,,,Панельный,,720,,744.0.01 панельный,
1,Совмещенный,,нет,,Без ремонта,5915000₽,нет,,1,58 м2,2,на улицу,4,2.7,2026,,нет,,,101982₽/м²,15,25 м2,,,20 м2,https://domclick.ru/card/sale__flat__2058481552,2,Меньше трех,Переуступка,,Кирпичный,нет,,,,нет
2,Раздельный,,есть,,Косметический,3600000₽,нет,,1,42 м2,1,во двор,3,,1975,,нет,,,85714₽/м²,9,30 м2,,,,https://domclick.ru/card/sale__flat__2059423619,2,Больше пяти,Свободная продажа,,Кирпичный,нет,,,,нет
1,Раздельный,,есть,Железобетонный,Дизайнерский,4780000₽,,,1,53 м2,1,"во двор, на улицу",9,2.7,1988,,,,,90188₽/м²,9,40 м2,есть,,9 м2,https://domclick.ru/card/sale__flat__2059309621,2,Меньше трех,Свободная продажа,,Панельный,нет,,,97 (111-97),
,,,,Железобетонный,,13930000₽,,,3,158 м2,1,на улицу,12,,2012,,,,,88164₽/м²,13,75 м2,есть,,15 м2,https://domclick.ru/card/sale__flat__2059307002,5,,Свободная продажа,,Кирпичный,,110,,,
,,,есть,Железобетонный,,2890000₽,,есть,,"32,7 м2",,,3,,1985,нет,,,,88379₽/м²,9,,есть,,,https://domclick.ru/card/sale__flat__2059314882,1,,Свободная продажа,,Панельный,нет,,,111-90 (90),
,,,есть,Железобетонный,Евро,4250000₽,,есть,1,"50,1 м2",1,на улицу,5,2.7,1991,,,,,84830₽/м²,10,"29,6 м2",есть,,"7,9 м2",https://domclick.ru/card/sale__flat__2057386047,2,,Свободная продажа,,Панельный,,,,1-панельный,
,,,,Железобетонный,,4100000₽,,,1,40 м2,,во двор,16,2.8,2023,,,,,102500₽/м²,17,13 м2,,,17 м2,https://domclick.ru/card/sale__flat__2056341596,1,,Свободная продажа,,Панельный,,102,Центральное,,
1,Совмещенный,,есть,Железобетонный,Дизайнерский,4850000₽,нет,есть,1,"51,3 м2",1,"на улицу, на парк",5,,1976,,нет,,,94541₽/м²,9,30 м2,есть,,9 м2,https://domclick.ru/card/sale__flat__2059488654,2,,Свободная продажа,,Панельный,нет,,,121,нет
1,,,,,,7919000₽,нет,,,"80,8 м2",,,6,2.7,,нет,нет,,,97995₽/м²,15,64 м2,,,,https://domclick.ru/card/sale__flat__2056028533,3,Меньше трех,Свободная продажа,,Монолитный,нет,,,,нет
,Совмещенный,,нет,Железобетонный,Без ремонта,3300000₽,нет,,2,"40,4 м2",2,,10,2.7,2020,,нет,,,81683₽/м²,19,30 м2,,,,https://domclick.ru/card/sale__flat__2059489762,1,,Свободная продажа,,Панельный,нет,204,Центральное,,нет
,,,есть,Железобетонный,косметический,3490000₽,,,,61 м2,,"во двор, на улицу",5,2.7,1973,нет,,6,,57166₽/м²,5,45 м2,,,6 м2,https://domclick.ru/card/sale__flat__2058251896,3,,Свободная продажа,,Панельный,,,Центральное,,
,Раздельный,,есть,Железобетонный,Косметический,3250000₽,нет,,1,"32,7 м2",1,,1,,1983,,нет,,,99388₽/м²,9,18 м2,есть,,8 м2,https://domclick.ru/card/sale__flat__2058722107,1,,Свободная продажа,,Панельный,нет,,,121,нет
,,,нет,Железобетонный,,4480000₽,,,,57 м2,,,8,,2024,нет,,,,78596₽/м²,17,"25,2 м2",,,19 м2,https://domclick.ru/card/sale__flat__2057543808,3,,Переуступка,,Панельный,нет,,Центральное,,
,Раздельный,,есть,Железобетонный,Косметический,2700000₽,нет,есть,1,"37,7 м2",1,на улицу,9,,1977,,нет,,,71618₽/м²,12,"19,5 м2",есть,,12 м2,https://domclick.ru/card/sale__flat__2058332949,1,,Свободная продажа,,Смешанные,нет,,,121. многоквартирный дом,нет
,,,нет,Железобетонный,,3930000₽,,,,"36,2 м2",,,7,,2022,нет,,,,108563₽/м²,17,16 м2,,,"11,8 м2",https://domclick.ru/card/sale__flat__2006022244,1,,Свободная продажа,,Панельный,нет,423,Центральное,,
1,Совмещенный,,есть,Железобетонный,Дизайнерский,6700000₽,нет,,1,"57,5 м2",,во двор,16,,2023,,нет,,,116521₽/м²,20,40 м2,,,12 м2,https://domclick.ru/card/sale__flat__2058330631,2,Меньше трех,Свободная продажа,,Монолитный,нет,,,,нет
1,Раздельный,,есть,Железобетонный,Косметический,3400000₽,нет,,1,50 м2,1,,1,,1981,,нет,,,68000₽/м²,9,29 м2,есть,,,https://domclick.ru/card/sale__flat__2059076803,2,,Свободная продажа,1,Панельный,нет,,,1-панельный,нет
,,,нет,Железобетонный,,2500000₽,,,,22 м2,,,3,,2023,нет,,,,113636₽/м²,20,,,,,https://domclick.ru/card/sale__flat__2059561311,,,Свободная продажа,,Монолитный,нет,,,,
,,,,Железобетонный,Евро,3300000₽,,,1,45 м2,,,5,,2018,,,,,73333₽/м²,12,28 м2,есть,,8 м2,https://domclick.ru/card/sale__flat__1543495025,2,,,,Монолитный,,,Центральное,,
,,,есть,Железобетонный,косметический,3200000₽,,,,"50,6 м2",,на улицу,3,,1977,нет,,,,63241₽/м²,5,29 м2,,Ленточный,7 м2,https://domclick.ru/card/sale__flat__2058252003,2,,Свободная продажа,,Панельный,,,,111-90 (90),
,Совмещенный,,нет,Железобетонный,Косметический,7350000₽,нет,,,80 м2,,во двор,7,,2023,нет,нет,,,91875₽/м²,17,49 м2,,,13 м2,https://domclick.ru/card/sale__flat__2057217560,3,,Свободная продажа,,Панельный,нет,132,Центральное,,нет
,,,есть,Железобетонный,евроремонт,2500000₽,,,1,"29,5 м2",,,4,,1973,,,,,84745₽/м²,5,17 м2,,,6 м2,https://domclick.ru/card/sale__flat__2056771863,1,,Свободная продажа,,Кирпичный,,56,,87,
,,,,Железобетонный,,3850000₽,,,1,"38,4 м2",,во двор,5,2.7,2023,,,,,100260₽/м²,17,15 м2,,,12 м2,https://domclick.ru/card/sale__flat__2055953456,1,,Свободная продажа,,Панельный,,204,Центральное,,
1,Совмещенный,,нет,Железобетонный,Косметический,2550000₽,нет,,,"25,5 м2",2,во двор,7,,2020,нет,нет,,,99960₽/м²,19,13 м2,есть,,7 м2,https://domclick.ru/card/sale__flat__2058778063,,Меньше трех,Переуступка,1,Панельный,есть,373,,,нет
