Этаж,Площадь,Ссылка,Грузовой лифт,Количество этажей,Количество квартир,Количество балконов,Прописано,Горячее водоснабжение,Комнат,Кухня,Прописанные несовершеннолетние,Цена,Количество лифтов,Газ,Несовершеннолетние собственники,Серия дома,Тип сделки,Санузел,Год постройки,Перепланировка,Жилая,Цена за квадрат,Вид из окон,Детская площадка,Материал стен,Высота потолков,Ремонт,Балкон,Район,Лет в собственности,Мусоропровод,Тип фундамента,Тип перекрытий,Лифт,Количество собственников
5,"44,7 м2",https://domclick.ru/card/sale__flat__2059346065,нет,5,,1,,,2,"5,6 м2",,3350000₽,,есть,,,Свободная продажа,Совмещенный,1975,,,74944₽/м²,"во двор, на улицу",,Панельный,,Евро,,ленинский,,,,,,
9,"65,6 м2",https://domclick.ru/card/sale__flat__2058833771,есть,18,417,1,,Центральное,2,"17,4 м2",нет,4770000₽,3,нет,нет,,Свободная продажа,Совмещенный,2023,нет,"35,6 м2",72713₽/м²,"во двор, на улицу",,Панельный,2.7,Без ремонта,,ленинский,,,,Железобетонный,,
17,80 м2,https://domclick.ru/card/sale__flat__2059470167,нет,17,,2,,,3,12 м2,нет,7200000₽,1,есть,нет,индивидуальный проект 11060.3.00-12-ас,Свободная продажа,Более одного,2012,нет,45 м2,90000₽/м²,во двор,,Панельный,,Евро,,ленинский,Больше пяти,,,Железобетонный,есть,1
3,"58,7 м2",https://domclick.ru/card/sale__flat__2059112970,нет,12,,1,,,2,,нет,4300000₽,2,нет,нет,,Свободная продажа,Раздельный,2024,нет,45 м2,73253₽/м²,,,Монолитный,2.7,Без ремонта,,ленинский,,,,,,
7,76 м2,https://domclick.ru/card/sale__flat__2058993867,есть,18,,,,Центральное,3,"21,3 м2",нет,6000840₽,3,нет,нет,,Переуступка,Совмещенный,2023,нет,32 м2,79000₽/м²,,,Монолитно-кирпичный,2.7,Без ремонта,нет,ленинский,,,,Железобетонный,,
8,37 м2,https://domclick.ru/card/sale__flat__2059257740,есть,17,359,1,,,1,9 м2,нет,3600000₽,3,нет,нет,,Свободная продажа,Совмещенный,2020,нет,19 м2,97297₽/м²,на парк,,Панельный,,Евро,,ленинский,От трех до пяти,,,Железобетонный,есть,1
7,47 м2,https://domclick.ru/card/sale__flat__2058316119,есть,14,,,,,2,22 м2,,5990000₽,2,нет,,,Свободная продажа,,2014,,14 м2,127446₽/м²,,,Кирпичный,,,нет,ленинский,,,,,,
12,"48,5 м2",https://domclick.ru/card/sale__flat__2058536325,есть,17,276,1,,,2,1 м2,нет,4950000₽,3,есть,нет,1-панельный,Свободная продажа,Совмещенный,2015,нет,18 м2,102061₽/м²,во двор,,Панельный,,Дизайнерский,,ленинский,Больше пяти,,,,есть,1
9,"61,6 м2",https://domclick.ru/card/sale__flat__2059582773,нет,10,,1,,,2,7 м2,нет,4650000₽,1,нет,нет,,Свободная продажа,Совмещенный,2007,нет,34 м2,75487₽/м²,во двор,,Смешанные,2.5,Евро,,ленинский,,,Бетонные столбы,Железобетонный,есть,
1,153 м2,https://domclick.ru/card/sale__flat__1719016445,нет,3,,1,,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,5,18 м2,нет,13200000₽,,есть,нет,,Свободная продажа,Более одного,1998,нет,100 м2,86274₽/м²,"во двор, на парк",,Кирпичный,3,Евро,,ленинский,Больше пяти,,Ленточный,Железобетонный,,1
2,44 м2,https://domclick.ru/card/sale__flat__1943692047,,9,,,,,2,7 м2,,3150000₽,1,есть,,v-кирпичный,Свободная продажа,,1982,,29 м2,71590₽/м²,,,Кирпичный,,,нет,ленинский,,есть,,Железобетонный,есть,
3,46 м2,https://domclick.ru/card/sale__flat__2057502235,есть,17,,1,,Центральное,1,"13,5 м2",нет,3358000₽,2,нет,нет,,Свободная продажа,Совмещенный,2022,нет,"16,6 м2",73000₽/м²,,,Кирпичный,2.7,Без ремонта,,ленинский,Меньше трех,,,Железобетонный,есть,1
2,"71,6 м2",https://domclick.ru/card/sale__flat__2056137949,нет,3,,1,,,2,15 м2,,6099000₽,,есть,,,Свободная продажа,Раздельный,2014,,50 м2,85181₽/м²,"во двор, на улицу",,Блочный,,Евро,,ленинский,Больше пяти,,,,,1
8,"42,1 м2",https://domclick.ru/card/sale__flat__2059223440,,8,80,,,,1,9 м2,,3599000₽,1,,,v-кирпичный,Свободная продажа,,2013,,20 м2,85486₽/м²,во двор,,Кирпичный,2.7,косметический,нет,ленинский,,,,,есть,
1,"87,9 м2",https://domclick.ru/card/sale__flat__2058954476,нет,4,,,3,Газовая колонка,4,"9,2 м2",,7000000₽,,есть,,v-кирпичный,Свободная продажа,Раздельный,1939,,"58,3 м2",79635₽/м²,"во двор, на парк, на улицу",,Кирпичный,3,Евро,нет,ленинский,От трех до пяти,,,Железобетонный,,1
1,40 м2,https://domclick.ru/card/sale__flat__1909630500,,10,,1,,,1,6 м2,,3150000₽,,есть,,"14/14, индивидуальный",,,1988,,,78750₽/м²,,,Панельный,,Косметический,,ленинский,,,,Железобетонный,есть,
