Ссылка;Комнат;Цена ₽;Общая площадь м²;Жилая площадь м²;Цена за квадрат ₽/м²;Район;Ремонт;Этаж;Год постройки;Количество этажей;Материал стен
https://domclick.ru/card/sale__flat__2059465569;3;3690000.0;68.7;44.9;53711.0;ленинский;Требует ремонта;5;1988;9;Панельный
https://domclick.ru/card/sale__flat__2056858254;1;3640000.0;45.7;19.3;79649.0;ленинский;Косметический;2;2013;3;Кирпичный
https://domclick.ru/card/sale__flat__2057341435;1;3799000.0;39.5;12.0;96177.0;ленинский;Дизайнерский;7;2022;14;Панельный
https://domclick.ru/card/sale__flat__2059319340;2;3980000.0;47.0;16.0;84680.0;ленинский;Евро;8;2012;17;Панельный
https://domclick.ru/card/sale__flat__2059204072;2;3288000.0;40.6;28.0;80985.0;ленинский;Косметический;2;1963;5;Кирпичный
https://domclick.ru/card/sale__flat__2058251977;1;3850000.0;40.0;29.2;96250.0;ленинский;Дизайнерский;5;2010;10;Кирпичный
https://domclick.ru/card/sale__flat__2059177156;1;5100000.0;54.6;38.0;93406.0;ленинский;евроремонт;7;1979;9;Кирпичный
https://domclick.ru/card/sale__flat__2059545248;1;3450000.0;36.0;26.0;95833.0;ленинский;Косметический;2;1981;10;Панельный
https://domclick.ru/card/sale__flat__2055950473;2;4200000.0;63.0;52.0;66666.0;ленинский;Без ремонта;8;2022;14;Кирпичный
https://domclick.ru/card/sale__flat__2059087800;2;3150000.0;45.0;32.0;70000.0;ленинский;косметический;4;1977;5;Панельный
https://domclick.ru/card/sale__flat__2059026419;2;3790000.0;53.3;30.1;71106.0;ленинский;Без ремонта;2;1979;9;Панельный
https://domclick.ru/card/sale__flat__2059387369;2;3100000.0;49.0;30.0;63265.0;ленинский;Евро;5;1987;5;Кирпичный
